ensg,abundance
ENSG00000223972,11495
ENSG00000227232,2403814
ENSG00000278267,602
ENSG00000243485,9534
ENSG00000237613,4852
ENSG00000268020,18739
ENSG00000240361,29247
ENSG00000186092,40993
ENSG00000238009,54560
ENSG00000233750,176997
ENSG00000268903,4907790
ENSG00000269981,2770784
ENSG00000239906,116661
ENSG00000241860,492225
ENSG00000222623,195
ENSG00000241599,884
ENSG00000279928,59906
ENSG00000279457,4695890
ENSG00000273874,304
ENSG00000228463,925677
ENSG00000236679,17953
ENSG00000236743,1136
ENSG00000236601,11446
ENSG00000237094,549190
ENSG00000269732,18744
ENSG00000278566,26328
ENSG00000233653,16419
ENSG00000250575,49100
ENSG00000278757,474
ENSG00000230021,97033
ENSG00000235146,724
ENSG00000225972,49829693
ENSG00000225630,463402202
ENSG00000237973,119024794
ENSG00000229344,11699681
ENSG00000240409,1757027
ENSG00000248527,1251077590
ENSG00000198744,17479223
ENSG00000268663,12082
ENSG00000273547,19325
ENSG00000283574,0
ENSG00000229376,180779
ENSG00000228327,6800317
ENSG00000223181,1721
ENSG00000229905,12816
ENSG00000237491,2019819
ENSG00000230092,293874
ENSG00000177757,556699
ENSG00000228794,29853509
ENSG00000225880,2891230
ENSG00000230368,96872
ENSG00000234711,57721
ENSG00000283040,14240
ENSG00000272438,88676
ENSG00000230699,472814
ENSG00000241180,105
ENSG00000223764,2483990
ENSG00000187634,7468308
ENSG00000188976,66485040
ENSG00000187961,15572359
ENSG00000187583,10683468
ENSG00000187642,21161520
ENSG00000272512,4683428
ENSG00000188290,12983838
ENSG00000187608,19900592
ENSG00000231702,12282
ENSG00000224969,96072
ENSG00000188157,89689921
ENSG00000217801,1868831
ENSG00000273443,95205
ENSG00000237330,1835338
ENSG00000131591,19348765
ENSG00000223823,162140
ENSG00000207730,13715
ENSG00000207607,9919
ENSG00000198976,19913
ENSG00000272141,3860826
ENSG00000205231,510753
ENSG00000162571,2997836
ENSG00000186891,3310248
ENSG00000186827,2796668
ENSG00000078808,126861737
ENSG00000176022,17288375
ENSG00000184163,1427263
ENSG00000260179,508407
ENSG00000160087,45447429
ENSG00000230415,1133987
ENSG00000162572,18290203
ENSG00000131584,134699586
ENSG00000278073,1518
ENSG00000169972,9017155
ENSG00000127054,125849584
ENSG00000283712,2064
ENSG00000240731,3849577
ENSG00000224051,35768080
ENSG00000169962,1692191
ENSG00000107404,112552992
ENSG00000284372,940
ENSG00000162576,132154476
ENSG00000175756,69898267
ENSG00000223663,56224
ENSG00000221978,280873265
ENSG00000224870,14056024
ENSG00000242485,45824863
ENSG00000272455,3634314
ENSG00000235098,10832646
ENSG00000225905,199961
ENSG00000205116,786469
ENSG00000225285,1142779
ENSG00000179403,75144183
ENSG00000215915,4331197
ENSG00000160072,26921907
ENSG00000197785,22785256
ENSG00000205090,5151354
ENSG00000160075,108685683
ENSG00000215014,1114013
ENSG00000274481,12110
ENSG00000228594,8296745
ENSG00000272106,13600263
ENSG00000197530,78126071
ENSG00000189409,926626
ENSG00000248333,46204076
ENSG00000272004,6907
ENSG00000189339,66918533
ENSG00000269737,2185191
ENSG00000215914,274543
ENSG00000008128,29630333
ENSG00000227775,8047635
ENSG00000215790,5878074
ENSG00000008130,83161782
ENSG00000078369,320809571
ENSG00000231050,508881
ENSG00000169885,1427856
ENSG00000178821,7622179
ENSG00000142609,2826507
ENSG00000233542,3030930
ENSG00000187730,23886632
ENSG00000226969,23902
ENSG00000067606,26368988
ENSG00000271806,358605
ENSG00000182873,5028663
ENSG00000162585,31496315
ENSG00000234396,45531
ENSG00000157933,150346202
ENSG00000116151,8072443
ENSG00000272161,173888
