,0
00R_AC107638.2,6.684696299416995e-08
0610005C13Rik,4.897158992684006e-06
0610006L08Rik,1.7083112765176765e-07
0610007P14Rik,5.3868748919524066e-05
0610009B22Rik,5.2410494800873466e-05
0610009E02Rik,2.0326428377116124e-06
0610009L18Rik,6.696085041260447e-05
0610009O20Rik,2.7459246909938478e-05
0610010F05Rik,8.501943367480726e-06
0610010K14Rik,1.0819304751278618e-06
0610012D04Rik,4.7040455440341816e-08
0610012G03Rik,0.00013872725472045648
0610025J13Rik,3.1442830741702163e-07
0610030E20Rik,2.5679137043538175e-05
0610031O16Rik,1.0150835121336919e-07
0610033M10Rik,2.4262971753439465e-07
0610037L13Rik,5.3888555427077896e-05
0610038B21Rik,9.457607356952933e-07
0610039K10Rik,1.8048680008425886e-06
0610040B10Rik,1.0499924816973139e-05
0610040F04Rik,4.332673527399904e-07
0610040J01Rik,8.336063866717415e-06
0610043K17Rik,3.292831880823927e-07
1010001B22Rik,1.1042127961259184e-06
1010001N08Rik,1.4557783052063678e-06
1110002E22Rik,4.010817779650197e-07
1110002J07Rik,4.1346084518616227e-07
1110002L01Rik,3.042774722956847e-06
1110002O04Rik,6.80848697162842e-07
1110003F10Rik,4.1841247207461933e-07
1110004E09Rik,8.175383574186985e-05
1110004F10Rik,0.0001376255177377748
1110006O24Rik,1.1594234359322143e-05
1110008E08Rik,2.4758134442285167e-09
1110008F13Rik,0.0002372250167856438
1110008L16Rik,1.3215892165291822e-05
1110008P14Rik,8.77923447323432e-05
1110012L19Rik,1.9348482066645857e-05
1110015O18Rik,5.4467895773027366e-08
1110017D15Rik,3.922183658346816e-05
1110018N20Rik,6.981793912724417e-07
1110019D14Rik,4.892207365795549e-06
1110020A21Rik,8.214749007950218e-06
1110025L11Rik,3.713720166342775e-08
1110025M09Rik,7.823570483762112e-07
1110028F11Rik,7.996877424858109e-07
1110028F18Rik,9.160509743645511e-08
1110032A03Rik,9.727471022373841e-05
1110032F04Rik,6.040984803917581e-07
1110034G24Rik,1.0621239675740337e-05
1110035H17Rik,4.411899557615217e-06
1110036E04Rik,3.4661388219199236e-08
1110037F02Rik,1.4332484028638884e-05
1110038B12Rik,8.405139061811392e-05
1110038F14Rik,4.711968147055713e-05
1110046J04Rik,2.6664510794341123e-06
1110051M20Rik,2.6290662964262617e-05
1110059E24Rik,5.044717473960026e-05
1110059G10Rik,3.17325009146769e-05
1110060G06Rik,1.4854880665371099e-08
1110065P20Rik,5.349490108944556e-05
1190002N15Rik,7.501714736012405e-06
1190003K10Rik,3.713720166342775e-08
1190005I06Rik,5.615144891510276e-06
1190007I07Rik,2.3587074683165078e-05
1190028D05Rik,2.4758134442285167e-09
1200007C13Rik,9.77946310470264e-07
1300002E11Rik,3.15245325853617e-05
1300017J02Rik,2.92145986418965e-06
1500002C15Rik,3.416622553035353e-06
1500002F19Rik,5.89243599726387e-07
1500004A13Rik,1.4533024917621392e-06
1500005C15Rik,4.951626888457033e-09
1500009C09Rik,9.77946310470264e-07
1500009L16Rik,2.5924242574516796e-05
1500011B03Rik,2.6275808083597248e-05
1500011K16Rik,4.3425767811768184e-05
1500012K07Rik,3.4661388219199236e-08
1500015A07Rik,3.7310508604523747e-06
1500015L24Rik,1.1636323187874029e-07
1500015O10Rik,4.147730263116034e-05
1500017E21Rik,2.6243622508822275e-07
1500026H17Rik,3.2953076942681556e-06
1500035N22Rik,1.3394150733276275e-06
1520401A03Rik,3.2259849178297572e-06
1600002D24Rik,2.698636654209083e-07
1600002H07Rik,8.618306599359466e-06
1600002K03Rik,1.849432642838702e-05
1600010M07Rik,2.723394788651368e-06
1600012H06Rik,3.0922909918414175e-05
1600012P17Rik,1.0878724273940102e-05
1600014C10Rik,1.8568600831713876e-05
1600014C23Rik,4.332673527399904e-07
1600015I10Rik,1.2874229909988287e-07
1600019K03Rik,4.2088828551884785e-08
1600020E01Rik,3.144778236859062e-05
1600023N17Rik,5.22396636732217e-07
1600025M17Rik,6.078122005581008e-06
1600027J07Rik,2.673878519766798e-07
1600029O15Rik,2.698636654209083e-07
1700001C02Rik,4.362878451419492e-05
1700001C19Rik,5.5408704881834205e-05
1700001D01Rik,3.0204924019587905e-07
1700001F09Rik,1.10000391327073e-05
1700001G01Rik,8.903025145445746e-06
1700001G11Rik,2.8880363826925646e-05
1700001G17Rik,1.5721415370851081e-06
1700001J03Rik,5.320523091647082e-05
1700001J04Rik,1.4458750514294538e-06
1700001J11Rik,3.0199972392699445e-05
1700001K19Rik,2.6728881943891065e-05
1700001L05Rik,2.4423899627314317e-05
1700001L19Rik,1.7033596496292194e-05
1700001O22Rik,4.922412289815137e-05
1700001P01Rik,2.7461722723382707e-05
1700003C15Rik,1.0992611692374613e-06
1700003D09Rik,3.713720166342775e-08
1700003E16Rik,4.4978102841299464e-05
1700003E24Rik,1.1977985443177564e-05
1700003F12Rik,9.770550176303419e-05
1700003G13Rik,1.4508266783179107e-06
1700003G18Rik,4.461415826499787e-06
1700003H04Rik,4.479736845987078e-05
1700003I16Rik,1.9806507553828133e-08
1700003I22Rik,2.2960693881775263e-05
1700003L19Rik,3.005637521293419e-06
1700003M07Rik,3.1442830741702163e-07
1700003N22Rik,6.437114954994143e-08
1700003P14Rik,1.5218825241672692e-05
1700006A11Rik,5.278434263095198e-06
1700006E09Rik,1.4203741729539e-05
1700006F04Rik,3.196275156499015e-06
1700006H21Rik,2.0524493452654404e-06
1700006J14Rik,3.94248532858949e-05
1700006P03Rik,3.8127527041119154e-07
1700007B14Rik,6.551002373428655e-06
1700007E05Rik,3.317590015266212e-07
1700007F19Rik,1.7578275454022468e-06
1700007G11Rik,3.7424396022958255e-05
1700007J10Rik,9.061477205876371e-07
1700007K09Rik,3.336406197442349e-05
1700007K13Rik,2.2455627939152645e-05
1700007L15Rik,2.1022131954944336e-05
1700007M16Rik,1.0150835121336919e-07
1700007P06Rik,5.89243599726387e-06
1700008A23Rik,2.074731666263497e-06
1700008B11Rik,4.85754597757635e-06
1700008H02Rik,7.922603021531253e-08
1700008J07Rik,1.9615869918622537e-05
1700008K24Rik,6.656719607497212e-05
1700008N11Rik,5.763693698163987e-06
1700008O03Rik,8.870839570670776e-06
1700008P02Rik,1.970747501605899e-06
1700009C05Rik,9.333816684741508e-07
1700009J07Rik,1.3317400516505191e-05
1700009N14Rik,5.817171268559323e-05
1700010B08Rik,4.930582474181091e-05
1700010B13Rik,3.607260188240949e-06
1700010D01Rik,2.0727510155081143e-05
1700010H22Rik,3.344823963152726e-06
1700010I02Rik,4.535690229826643e-06
1700010I14Rik,7.93448692606355e-05
1700010J16Rik,2.550087847555372e-06
1700010K23Rik,4.400263234427343e-05
1700010K24Rik,1.1512532515662602e-06
1700010L04Rik,8.368249441492387e-07
1700010N08Rik,2.104441427594239e-06
1700011B04Rik,1.6414643135235065e-06
1700011C11Rik,7.254133391589553e-07
1700011D18Rik,3.4661388219199236e-07
1700011H14Rik,1.3805135765018208e-05
1700011I03Rik,2.768949756025173e-05
1700011L03Rik,1.4112136632102545e-07
1700011L22Rik,3.0021713824714994e-05
1700011M02Rik,1.4260685438756255e-06
1700012A03Rik,3.48668807350702e-05
1700012B07Rik,3.400034602959022e-05
1700012B09Rik,7.36579257792426e-05
1700012C14Rik,4.543117670159328e-06
1700012D14Rik,2.515426459336173e-06
1700012D16Rik,3.7657122486715736e-06
1700012E03Rik,5.818161593937014e-07
1700012I11Rik,1.4359717976525395e-07
1700012J22Rik,3.0402989095126185e-06
1700012P22Rik,1.6008609730381588e-05
1700013A02Rik,2.9957342675165054e-07
1700013D24Rik,2.950922044175969e-05
1700013F07Rik,5.977603979745331e-05
1700013G24Rik,4.8466523984217445e-05
1700013H16Rik,4.1890763476346506e-06
1700013M08Rik,4.557972550824699e-06
1700013N06Rik,3.961301510765627e-07
1700014D04Rik,2.109393054482696e-06
1700014F14Rik,6.783728837186136e-07
1700014L14Rik,5.025901291783889e-07
1700015C17Rik,1.500342947202481e-06
1700015F17Rik,4.2356216403861464e-05
1700015G11Rik,0.00010971814859443094
1700015O11Rik,9.061477205876371e-07
1700016A09Rik,1.1626419934097114e-05
1700016B15Rik,9.259542281414652e-07
1700016C15Rik,1.5449075891985944e-05
1700016D06Rik,1.068065919840182e-05
1700016D08Rik,1.0522207137971195e-06
1700016F12Rik,8.615830785915238e-07
1700016G14Rik,2.2547233036589103e-05
1700016G22Rik,8.581169397696038e-06
1700016H13Rik,6.0040951835985756e-05
1700016K19Rik,3.3460618698748404e-05
1700016L21Rik,2.639217131547599e-06
1700016P03Rik,2.0821591065961827e-06
1700016P04Rik,6.039499315851043e-05
1700017B05Rik,1.4624630015057848e-05
1700017D01Rik,1.8568600831713876e-05
1700017G19Rik,9.393236207402992e-06
1700017I07Rik,1.5795689774177936e-06
1700017J07Rik,1.1336749761122378e-05
1700017L05Rik,2.017540375701818e-05
1700017N19Rik,1.572389118429531e-05
1700018A04Rik,9.952770045798636e-06
1700018A14Rik,5.743887190610158e-07
1700018B08Rik,3.348785264663492e-05
1700018B24Rik,6.538623306207512e-05
1700018C11Rik,5.790680064706077e-05
1700018F24Rik,1.2854423402434459e-05
1700018G05Rik,6.536147492763284e-07
1700018L02Rik,3.4129088328690104e-05
1700018M17Rik,2.079683293151954e-07
1700018P08Rik,1.3864555287679694e-07
1700019A02Rik,4.6371985810400116e-05
1700019A23Rik,1.7330694109599618e-08
1700019B03Rik,6.964463218614817e-06
1700019B21Rik,5.471547711745022e-07
1700019D03Rik,8.510361133191103e-05
1700019E08Rik,7.179858988262698e-08
1700019G24Rik,3.7525904374171624e-05
1700019M22Rik,6.74510614745617e-05
1700019N19Rik,4.9083001531830344e-05
1700019P21Rik,3.790470383113859e-06
1700020A23Rik,1.4023007348110318e-05
1700020D05Rik,7.82158983300673e-05
1700020G17Rik,1.0103794665896576e-05
1700020I14Rik,4.674583364047862e-05
1700020L24Rik,4.455473874233639e-05
