,0
0610005C13Rik,3.973996869979374e-06
0610007C21Rik,0.00017486712920410718
0610007L01Rik,5.368788392464641e-05
0610007N19Rik,1.5400183007784374e-05
0610007P08Rik,1.2535036850858361e-05
0610007P14Rik,3.7201533482551834e-05
0610007P22Rik,2.291304033338156e-05
0610008F07Rik,2.9323890781013905e-07
0610009B14Rik,8.541345276410287e-08
0610009B22Rik,2.4343342095395977e-05
0610009D07Rik,8.69702309894125e-05
0610009L18Rik,4.797618054278153e-06
0610009O20Rik,1.978038689314852e-05
0610010B08Rik,4.5515986200045026e-08
0610010F05Rik,1.189787281554322e-05
0610010K14Rik,4.9344828017513814e-05
0610010O12Rik,4.664489024648002e-05
0610011F06Rik,4.2461603520060125e-05
0610011L14Rik,4.230063890963764e-05
0610012G03Rik,5.091048230841858e-05
0610012H03Rik,1.7675922546301136e-06
0610030E20Rik,3.6510186595640714e-05
0610031J06Rik,0.00018125661134567713
0610031O16Rik,1.8275131688330618e-07
0610037L13Rik,4.5867472420464415e-05
0610037P05Rik,6.367025994471643e-05
0610038B21Rik,7.351892715174705e-07
0610038L08Rik,5.432630316115683e-07
0610039K10Rik,2.9092276274743156e-06
0610040B10Rik,9.131588695616386e-07
0610040F04Rik,1.1111519152446973e-07
0610040J01Rik,4.515398019817953e-05
0610043K17Rik,1.4373249115593994e-06
0910001L09Rik,2.6888142975842487e-05
100043387,5.0765416913136234e-06
1100001G20Rik,3.407213758827796e-05
1110001A16Rik,1.8842990686221003e-05
1110001J03Rik,1.9543392953183744e-05
1110002B05Rik,0.00011884137328177796
1110002L01Rik,1.7854041573059026e-06
1110002N22Rik,1.5232075704845927e-05
1110003E01Rik,0.0002071243654069903
1110004E09Rik,2.272144283664585e-05
1110004F10Rik,0.0001173860571530863
1110005A03Rik,5.5506789999569024e-05
1110006O24Rik,1.9073977591894116e-06
1110007C09Rik,5.67950448263183e-05
1110008F13Rik,8.909985913165084e-05
1110008J03Rik,1.1206645471603075e-05
1110008L16Rik,7.766378081299737e-06
1110008P14Rik,2.1035229459509317e-05
1110012J17Rik,3.4198853137515114e-06
1110012L19Rik,1.9905518498020215e-05
1110014N23Rik,5.132957007892628e-05
1110015O18Rik,1.4407916577177745e-07
1110017D15Rik,1.0225406880069208e-06
1110017F19Rik,4.269447322752615e-06
1110018G07Rik,1.1477529843840244e-05
1110018J18Rik,2.3858804548277573e-05
1110019D14Rik,3.7180553691145115e-06
1110020A21Rik,1.067040558953649e-06
1110020G09Rik,1.2941692152384305e-05
1110021J02Rik,9.119156226634628e-06
1110021L09Rik,4.321179543443539e-06
1110028C15Rik,1.2912493781722819e-05
1110028F11Rik,2.5659898720524396e-07
1110028F18Rik,1.0250809761402129e-07
1110031I02Rik,2.147311536220338e-05
1110032A03Rik,2.0056979442249912e-05
1110032A04Rik,2.882605407837415e-05
1110032F04Rik,5.421572591300176e-07
1110034A24Rik,1.5489601150076255e-05
1110034B05Rik,9.120650513771858e-06
1110034G24Rik,1.8682115733026754e-05
1110035M17Rik,8.903261621047546e-07
1110036E04Rik,2.282673030833512e-07
1110037F02Rik,1.8138135443589316e-05
1110038B12Rik,1.9637204299659084e-05
1110038D17Rik,2.0011792199220057e-05
1110038F14Rik,2.6223484057202303e-05
1110046J04Rik,2.1709302387114056e-06
1110049F12Rik,6.240830457158242e-05
1110050K14Rik,4.146138748188343e-06
1110051M20Rik,2.998478409606827e-05
1110054M08Rik,1.9198003424284254e-06
1110054O05Rik,2.1824362496680815e-05
1110057K04Rik,4.853501404636305e-05
1110058L19Rik,2.069919416808889e-05
1110059E24Rik,3.589322532242093e-05
1110059G10Rik,1.4768009891507582e-05
1110059M19Rik,5.666336824378553e-08
1110065P20Rik,9.184277260075139e-06
1110067D22Rik,1.3113535173165828e-05
1190002F15Rik,4.640239732985024e-06
1190002H23Rik,0.00018120864472857202
1190002N15Rik,1.8756053060576923e-05
1190003J15Rik,4.960056031817946e-05
1190003K10Rik,7.770293113599281e-10
1190005F20Rik,1.8259740530817144e-05
1190005I06Rik,4.084843089819142e-06
1190007F08Rik,1.1025418327599744e-05
1190007I07Rik,8.058630759599304e-06
1200009I06Rik,5.282723430508706e-06
1200011I18Rik,1.802433053521783e-05
1200011M11Rik,1.2675858470670976e-05
1200014J11Rik,2.0846112479421407e-05
1200016B10Rik,1.4658060243950153e-05
1300001I01Rik,1.7159078511275805e-05
1300002E11Rik,1.577931354024253e-05
1300002K09Rik,1.9876409784586963e-06
1300010F03Rik,1.3014583478938415e-05
1300014I06Rik,8.560678363391777e-05
1300015D01Rik,8.962734249109325e-08
1300017J02Rik,5.6804428949540105e-06
1300018I17Rik,1.1108978864313681e-05
1300018J18Rik,3.0316904355189147e-05
1500001M20Rik,1.7176501899295914e-05
1500002O10Rik,4.402169906281439e-08
1500002O20Rik,1.3668304215734072e-05
1500003O03Rik,0.00010639578445895423
1500004A13Rik,4.113802374538672e-06
1500009C09Rik,1.607613873718202e-06
1500009L16Rik,6.821062152544895e-06
1500010J02Rik,4.870174660513524e-05
1500011B03Rik,1.8597568966802243e-05
1500011H22Rik,3.617331450342344e-05
1500011K16Rik,1.2824181411912488e-05
1500012F01Rik,2.5306858441482288e-05
1500012K07Rik,4.4141242033792845e-08
